N1,N2,N3,N4,N5,N6,N7
150,7,18,43,6,41,23
119,6,22,40,7,40,18
93,2,10,19,5,28,16
73,3,17,23,6,26,15
39,3,6,10,3,9,6
28,2,0,6,2,7,4
10,0,5,2,1,10,2
18,1,1,4,3,3,7
12,1,2,3,3,11,3
19,1,6,5,3,6,2
12,0,1,3,2,7,4
35,1,4,1,3,5,1
89,11,8,13,6,15,5
169,21,18,27,3,21,10
320,24,33,53,13,44,25
384,25,43,70,21,58,46
375,18,41,79,19,62,35
258,17,24,41,6,25,28
316,14,18,36,8,32,18
367,21,29,41,12,50,19
288,16,36,52,18,62,32
260,22,35,66,19,68,23
207,18,28,44,19,62,22
147,12,16,43,9,48,11
109,8,21,21,6,32,16
87,11,18,18,3,27,9
99,7,15,20,7,31,13
50,4,8,15,7,30,12
38,1,10,8,4,12,4
15,4,7,9,1,7,2
21,4,3,4,2,8,4
17,1,1,6,1,4,3
12,1,8,3,0,4,1
11,0,4,4,1,4,0
4,4,3,3,4,4,2
17,1,3,13,1,4,2
46,3,7,8,7,5,2
139,17,16,31,4,16,8
325,17,26,36,12,20,6
393,34,40,60,8,39,20
298,28,25,59,8,48,23
208,11,17,36,11,31,20
254,15,23,42,9,36,11
268,8,25,60,11,54,23
220,17,33,47,24,63,28
183,18,46,63,16,78,20
178,13,29,52,11,70,22
118,14,18,48,11,52,30
104,5,24,32,6,42,15
78,6,14,25,7,20,13
66,4,12,35,10,29,10
42,5,21,29,3,19,4
28,5,5,12,4,12,7
13,1,3,7,3,4,3
1,0,0,2,2,5,2
0,0,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,0,0
2,0,0,0,0,0,0
0,0,0,0,1,0,0
1,0,0,0,0,0,1
0,0,0,0,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
148,2,1,0,0,0,0
282,29,56,83,11,36,30
169,10,25,64,19,81,42
179,11,28,53,15,52,23
188,11,43,61,14,68,30
142,18,40,53,19,47,22
160,12,39,51,6,57,23
124,10,20,31,10,37,23
82,9,17,43,6,37,19
66,10,13,25,3,25,13
61,2,4,16,0,23,10
36,3,15,11,2,18,6
29,1,3,7,1,12,5
18,2,5,6,1,7,4
15,1,4,4,0,7,1
12,0,4,7,0,6,0
11,0,3,4,0,4,2
6,1,4,2,2,6,1
6,1,6,2,0,2,0
25,0,3,1,3,5,1
56,9,4,8,7,10,2
147,16,16,26,9,18,10
187,22,21,40,13,31,14
214,21,29,56,11,35,17
162,14,19,39,8,26,23
133,14,13,22,12,43,24
159,18,26,42,16,47,14
161,13,19,34,7,39,24
160,14,22,35,15,42,27
164,14,24,32,21,61,20
145,6,25,36,12,37,30
98,3,15,29,8,34,15
80,3,14,26,5,31,16
58,2,9,27,4,29,12
50,3,10,8,2,19,13
41,1,4,9,4,16,7
24,1,6,11,2,9,3
15,2,7,4,1,9,5
14,2,3,2,2,7,1
17,0,3,5,0,5,5
7,0,2,1,2,2,2
9,1,1,1,1,4,1
10,0,4,0,0,4,3
23,1,3,4,1,3,2
53,10,5,15,3,5,4
127,14,11,24,2,12,8
222,17,20,55,9,20,15
199,10,27,60,10,38,19
181,15,26,41,12,27,18
148,13,17,41,8,24,17
203,10,20,50,8,37,13
166,15,29,54,12,48,30
166,10,28,61,16,54,27
163,13,39,72,15,41,23
142,8,29,44,10,51,18
102,6,18,26,10,31,22
74,3,12,17,5,29,13
57,2,9,19,4,28,10
46,6,9,13,4,19,6
41,4,10,11,6,21,9
15,3,7,7,2,13,7
19,4,4,6,1,9,12
11,1,4,6,1,3,2
8,1,4,3,3,9,3
17,1,0,3,2,2,1
13,0,1,2,2,1,2
9,0,3,4,3,4,3
15,2,4,2,0,0,1
65,6,7,12,2,4,4
130,8,10,19,0,17,9
188,21,18,29,10,19,17
192,20,32,48,13,36,31
180,14,29,42,7,35,18
137,10,16,40,4,28,20
147,19,30,53,6,42,18
176,12,22,37,11,48,20
200,12,32,54,17,40,23
162,10,32,46,13,50,30
195,10,22,51,13,46,28
165,3,18,42,7,47,15
131,3,15,28,6,28,7
76,3,8,22,11,22,6
55,1,11,16,4,15,8
42,3,11,12,4,12,5
