N1_Ori,N2_Ori,N3_Ori,N4_Ori,N5_Ori,N6_Ori,N7_Ori,N8_Ori,N9_Ori,N10_Ori,N11_Ori,N12_Ori,N13_Ori,N14_Ori,N15_Ori,N16_Ori,N17_Ori,N18_Ori,N19_Ori,N20_Ori,N21_Ori,N22_Ori,N23_Ori,N24_Ori,N25_Ori
3.16118519217082e+18,3.4619177104377103e+18,3.567807341379308e+18,3.699884335526319e+18,3.616113930875577e+18,3.6821082908163267e+18,3.683111016393445e+18,4.0135104824120607e+18,4.0053029531914906e+18,4.1107056865671634e+18,3.990688401746725e+18,4.046796228260867e+18,3.840113570552149e+18,3.771693446511626e+18,3.842974908571429e+18,3.841280275280899e+18,3.8772530349650335e+18,3.776377100719424e+18,3.893891669064751e+18,3.8271851595092014e+18,3.858352858024692e+18,3.974058324324324e+18,3.8741583192771057e+18,3.718327205479451e+18,3.780397157894736e+18
3.262214966417908e+18,3.4398324659863916e+18,3.6571871028806595e+18,3.78232253125e+18,3.726887086363635e+18,3.617860137724551e+18,3.907214771573604e+18,3.8697421542857144e+18,4.0833196030534344e+18,4.013310849056606e+18,3.949372360465115e+18,3.8720244794520535e+18,3.8972584111111127e+18,3.9431109274193536e+18,3.769854839160839e+18,3.8444718285714263e+18,3.920076035714287e+18,3.8820429943502807e+18,3.940988322404372e+18,3.7729374294871777e+18,3.9153152928176794e+18,3.902070076502732e+18,3.90528257615894e+18,3.7854432e+18,3.728200053892217e+18
3.177824911926606e+18,3.578786308571427e+18,3.872357721014495e+18,3.80256770165746e+18,3.7215974919786097e+18,3.660816953757228e+18,3.8632331420454554e+18,3.925878049382717e+18,3.883647876288661e+18,4.083849041450779e+18,3.9351107348484854e+18,4.107455812865495e+18,3.9199724e+18,3.9200098827586207e+18,3.9167849240506327e+18,3.8972315040650414e+18,3.9017815480226e+18,3.922768733812949e+18,3.9604375566037734e+18,3.889105082568808e+18,3.9162019937888195e+18,3.9212766318407946e+18,3.798316366666664e+18,3.870812119205298e+18,3.7363924975369446e+18
3.290603527607361e+18,3.523964100877197e+18,3.721200287804877e+18,3.661165040909088e+18,3.635748737430167e+18,3.5552372519685043e+18,3.9445704388489216e+18,3.911578305732484e+18,4.102288070796461e+18,4.0660143382352937e+18,4.008678296875e+18,4.052792990909089e+18,3.823975804511279e+18,3.983967120805369e+18,3.9751021527777777e+18,3.893997484276728e+18,3.877630323943663e+18,3.883617285714287e+18,3.834328113402061e+18,3.889062453703704e+18,3.796945011235955e+18,3.883047650349652e+18,3.9159852932330813e+18,3.898324887640449e+18,3.7143348652482273e+18
3.211466364062499e+18,3.56623995142857e+18,3.608489622377621e+18,3.6738823384615393e+18,3.646137679802954e+18,3.6885624114583327e+18,3.7571030117647063e+18,3.9792731875e+18,4.005920328125e+18,4.015792721518988e+18,4.020721021390373e+18,4.0355239940119767e+18,3.942908933734939e+18,3.979429187878788e+18,3.779712790540538e+18,4.117624088888888e+18,3.9174312515723274e+18,3.873740615384616e+18,3.859598084745761e+18,3.8752693986013993e+18,3.959585678082192e+18,3.802141785714287e+18,3.905143e+18,3.7823189251336904e+18,3.674131414965986e+18
3.1822773865546204e+18,3.5971275234374994e+18,3.6894784375e+18,3.748660235602093e+18,3.716890822580644e+18,3.613071497005989e+18,3.885114588832488e+18,3.96123445e+18,3.931540157657657e+18,4.2076150111731866e+18,3.9183363537414973e+18,4.019052289855072e+18,3.9413608674698793e+18,3.8890800896551726e+18,3.941355740740743e+18,3.81206340506329e+18,3.8029917307692314e+18,3.8900213162790687e+18,3.8900882314814817e+18,3.904417648068669e+18,4.025048179310343e+18,3.8700858e+18,3.792305218905472e+18,3.841702240601504e+18,3.794289207964604e+18
3.1942989732283453e+18,3.4522901846689864e+18,3.7877144323308247e+18,3.8020663046875034e+18,3.9013301985018737e+18,3.7465216230366495e+18,3.895562744444444e+18,3.9908386129032253e+18,3.9145479716312054e+18,4.015760129629629e+18,4.176353151515152e+18,4.1000996526946094e+18,4.030961020408162e+18,3.9263247142857134e+18,3.873015933962264e+18,3.94856250625e+18,3.7964645035461007e+18,3.851537326241136e+18,3.9595227267759555e+18,3.708526435294117e+18,3.953250405e+18,3.906731901840488e+18,3.942173626086957e+18,3.861676412621357e+18,3.8141187422680407e+18
3.2263328129175977e+18,3.4481456108786627e+18,3.7666286415929206e+18,3.700146888297872e+18,3.7129024876543217e+18,3.5675418421052626e+18,3.930202956521736e+18,3.9657117932960896e+18,4.1898375252525256e+18,4.098193655367233e+18,3.9385008451612897e+18,3.986850333333333e+18,3.999444021978024e+18,3.7416851239669407e+18,3.8380371842105257e+18,3.938020954887218e+18,3.917906544e+18,3.8834675943396234e+18,3.939888240310079e+18,3.8931462578616366e+18,3.7802169438202225e+18,3.8545536802721085e+18,3.803460761904761e+18,3.807820702702703e+18,3.7179664961240305e+18
3.143974824786324e+18,3.4704932750809047e+18,3.6036231563786e+18,3.7352654063926953e+18,3.607933478672988e+18,3.7356869621621606e+18,3.869123811428572e+18,3.952781988764044e+18,3.973518440476191e+18,4.0331187142857134e+18,4.0761438105263165e+18,4.078457647058824e+18,3.946349734939759e+18,3.969673935483873e+18,3.9440817183098583e+18,3.997333707070708e+18,4.0130683065693425e+18,3.910632609302322e+18,3.8576885975609754e+18,3.854247088e+18,3.938722666666669e+18,3.952712775e+18,3.7737283629629614e+18,3.79720881868132e+18,3.7915838783783834e+18
3.19574491575092e+18,3.506156693602694e+18,3.791716804428045e+18,3.6818131913043487e+18,3.7714720324074086e+18,3.7267314244186015e+18,3.784728829113924e+18,4.0070404917127055e+18,3.99491472906404e+18,4.044465617021276e+18,3.9468005714285706e+18,3.966297048780488e+18,4.0412713488372106e+18,3.8630141136363617e+18,3.928424490797548e+18,4.0320115874125885e+18,3.8003576779661025e+18,3.7220070769230787e+18,3.840273364197531e+18,3.9046222068965514e+18,4.04253883e+18,3.91946818181818e+18,3.9025073915662633e+18,3.8343933723404257e+18,3.6998558125e+18
3.231966211838007e+18,3.564683829341319e+18,3.8006510221238943e+18,3.846445734082398e+18,3.826402119834707e+18,3.795158471861471e+18,3.8933596150234767e+18,3.889080069620255e+18,4.1670701361502326e+18,4.151984986111111e+18,4.1291760725388616e+18,4.036672104477611e+18,3.952505754098361e+18,3.8648791920529833e+18,4.033596941798939e+18,3.915550274193548e+18,3.942598938650308e+18,3.884479185022024e+18,3.853186801652892e+18,3.905949e+18,4.02659190625e+18,3.940528953488371e+18,3.918004735576924e+18,3.843647010752687e+18,3.724710013333333e+18
3.2128519106029087e+18,3.5349462649253755e+18,3.678867748792272e+18,3.847605080459769e+18,3.795910977611941e+18,3.62177853398058e+18,3.7324819180327875e+18,3.9614330342465746e+18,4.0369405491803295e+18,4.059120351351352e+18,3.922067316176471e+18,4.1224143404255293e+18,3.88403891011236e+18,3.9520295642857134e+18,3.9158954259259274e+18,4.008509336e+18,3.8105388317757025e+18,4.004325515625e+18,3.8794866573426575e+18,3.8607729375e+18,3.9075314375e+18,3.877732789115645e+18,3.8322735319148954e+18,3.843400910052909e+18,3.8147512278481014e+18
