"","N1_Ori","N1_Fit","N2_Ori","N2_Fit","N3_Ori","N3_Fit","N4_Ori","N4_Fit","N5_Ori","N5_Fit","N6_Ori","N6_Fit","N7_Ori","N7_Fit"
"359",89,104.479130818051,4,7.64747632226035,14,14.751074016779,24,27.6749133366157,3,2.41434409597109,21,15.8228262857647,8,6.81330705765465
"360",105,83.9701502653085,4,1.87741401309785,11,12.4868488893284,23,24.6208023525036,5,4.25427733393455,21,20.9812396507442,12,8.22453354388482
"361",79,61.7610004601902,4,6.24488985487721,22,16.4199704465888,18,22.449759347371,5,4.97880518747739,12,11.3357413617718,11,7.66479623459935
"362",82,90.0189840544544,4,3.49659242606564,12,7.23878895191777,17,22.409382426316,5,4.48200292046814,19,12.1140011120432,9,9.07729927197186
"363",79,53.939691993824,14,9.67378866292873,15,14.4319605840883,22,19.920075575371,8,8.45120734414656,22,21.367514644547,4,5.40410502633817
"364",91,66.2582660615748,8,6.35774798770881,12,14.1030191347381,36,12.5912221841636,3,2.51742484335819,15,16.7337546035779,11,10.2868705288267
"365",65,77.0552212891841,8,9.16767460011752,14,12.5962887499069,27,21.4638861430178,5,2.29891529648982,24,23.1766443628081,5,9.00343601886493
"366",84,87.8239889014157,10,9.78018589225566,19,20.7102037086885,27,27.7698771056157,4,4.30603708399964,31,33.6724995073562,9,9.8838537100707
"367",83,64.6692471363943,10,8.03017589786116,11,13.9579994778872,15,11.8007828164375,7,6.51767312157377,17,14.922925031978,14,15.9638987742329
"368",96,95.4428329474878,9,7.19004504615679,18,14.8616506547234,23,21.1554504431413,3,4.98198270595516,23,19.9529875332576,16,12.4553492887573
"369",66,61.6854535897678,8,6.59467837771727,10,13.7663687291237,26,31.1186698162808,5,4.32613378665261,35,34.516247920747,10,5.02180733235857
"370",86,72.4554074220292,6,4.7581198872853,16,15.5255216682126,30,27.6801657043447,7,5.95137815550417,28,30.0813409337875,10,10.4672581332832
"371",73,77.4273245464097,3,4.32647056927606,12,13.4028969363977,18,20.8927207682751,6,5.02082118564831,31,29.2316345581582,14,13.7574120764466
"372",64,91.1822284058895,4,1.18845590649692,12,12.1355030551747,22,22.2090352924477,4,6.33445371687818,22,26.7525108113495,10,10.0185729401855
